카드사,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,신한카드,현대카드,현대카드,현대카드,현대카드,현대카드,현대카드,현대카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,삼성카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,하나카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,씨티카드,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,IBK 기업은행,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,롯데카드,SC제일은행,SC제일은행,SC제일은행,SC제일은행,SC제일은행,SC제일은행,SC제일은행,SC제일은행,SC제일은행,SC제일은행,SC제일은행,카카오뱅크,카카오뱅크
카드명,위버스 신한카드(BTS),신한카드 Deep Dream,신한카드 Mr.Life,신한카드 Deep Oil,신한카드 Simple+,신한카드 B.Big(삑),신한카드 YOLO,신한카드 MY CAR,신한카드 Hi-Point 카드,신한카드 Deep Taking,신한카드 D-day,신한카드 RPM+,신한카드 Unboxing,신세계 신한카드,신한카드 Shopping,L.PAY 신한카드,신한카드 B.Big(마이펫 스노우볼),리디 신한카드,알뜰교통 신한카드,신한카드 Cube Platinum#,현대카드Z family,현대카드Z work,현대카드M BOOST,현대카드ZERO Edition2(할인형),현대카드M3 BOOST,현대카드 대한항공카드 070,현대카드 Z ontact,삼성카드 taptap O,삼성카드 4,삼성카드 taptap DIGITAL,신세계이마트 삼성카드 7,국민행복 삼성카드 V2,아메리칸 엑스프레스 블루,삼성카드 2 V4,삼성카앤모아카드,삼성카드 3 V4,삼성카드 5 V4,삼성페이 삼성카드 taptap,홈플러스 삼성카드,신세계 멘즈라이프 삼성카드,신세계사이먼 프리미엄 아울렛 삼성카드,아메리칸 엑스프레스 그린,삼성카드 4 V4,신세계 THE S VIP 삼성카드,taptap DRIVE,삼성페이 삼성카드 taptap,T 라이트 삼성카드,MULTI Any 모바일카드,MULTI On 모바일카드,MULTI Living 모바일카드,MULTI Young 모바일카드,MULTI Oil 모바일카드,MULTI Global 모바일카드,모두의 건강,1Q My Lunch,#tag1카드 Orange,#tag1카드 Navy,통커 카드,1Q Daily+,하나멤버스 1Q 카드 내맘대로-트렌디형,하나멤버스 1Q 카드 내맘대로-직장인형,하나멤버스 1Q 카드 내맘대로-생활형,하나멤버스 1Q 카드 내맘대로-웰빙형,하나멤버스 1Q 카드 내맘대로-여행형,SMART ANY(스마트 애니)카드,하나멤버스 1Q(원큐) 카드 Daily BC,하나멤버스 1Q(원큐) 카드 Living,카카오뱅크 씨티카드,씨티 NEW 캐시백 카드,씨티 리워드 카드,NEW 씨티 클리어 카드,신세계 씨티 클리어,씨티 프리미어마일 카드 대한항공,씨티 프리미어마일 카드 아시아나,씨티 메가마일 스카이패스,씨티 메가마일 아시아나,신세계 씨티 리워드(비자),신세계 씨티카드 콰트로,갤러리아 씨티카드 프레스티지,대백 씨티카드 아인스,신세계 씨티 플래티늄 아시아나,신세계 씨티 아시아나,씨티 글로벌 월렛 체크카드,씨티 캐시백 체크카드,신세계 씨티 플러스 체크카드,씨티 체크+신용카드(신규 판매 중단),A+ 체크카드(신규 판매 중단),일상의 기쁨카드(신용),일년의 설렘카드,무민 카드(신용) ,IBK 무직타이거 카드(체크),일상의 기쁨카드(체크),이지캐시백 체크카드,DailyWith 데일리위드 카드,마일앤조이카드(대한항공),BLISS.7 카드,이사배 카드,부자되세요 더 마일리지 카드(체크),IBK비즈니스카드(신용),IBK비즈니스카드(체크),EV카드,EV카드(충전.주유전용),IBK 무직타이거 카드(신용),CEO카드,CEO카드(기업),IBK 웰릭스 카드,일상의 기쁨 Dream 체크카드 ,LIKIT ALL,LIKIT ON,LOCA CLASSIC,LOCA LIKIT,LOCA LIKIT New York Blue,LOCA 100,LOCA for Shopping,LOCA for Coffee,LOCA for Health,롤라,포인트플러스,포인트플러스 GRANDE,샤롯데 플래티넘 스타,롯데백화점,롯데백화점 FLEX,국민행복,경차 smart,ALL MY LIVING,I'm Powerful,I'm WONDERFUL PLUS,디지털 삼성카드,드라이브 삼성카드,삼성체크카드 POINT,삼성체크카드 CASHBACK,삼성체크카드 YOUNG,리워드W신용카드0,시그마카드,국민행복신용카드 For Baby,국민행복신용카드 For Children,국민행복신용카드 For Green Life,에이플러스 체크카드,프렌즈체크카드,mini카드
월사용액,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,0,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,0,-1,-3,0,0,-2,-3,-3,-3,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-2,0,-1,0,0,-1,0
연회비,3만5천원,8천원,1만5천원,1만원,1만,1만원,1만5천원,2만7천원,8천원,2만원,1만8천원,3만2천원,3만2천원,1만2천원,2만원,1만7천원,1만원,1만원,1만2천원,1만원,1만원,1만원,3만원,1만원,9만원,7만원,1만원,1만원,5천원,1만원,1만8천원,0,1만5천원,2만원,8천원,2만원,3만9천원,1만원,1만5천원,4만9천원,2만원,4만9천원,2만원,4만7천원,1만원,1만원,2만5천원,1만2천원,1만2천원,1만2천원,1만2천원,1만5천원,1만2천원,1만 5천원,1만5천원,1만2천원,1만2천원,1만7천원,1만원,1만원,1만원,1만원,1만원,1만원,5천원,8천원,8천원,6천원,1만3천원,8천원,4천원,4천원,5천원,5천원,5천원,8천원 ,8천원,2천원,4천원,4천원,1만원,5천원,0,0,0,0,0,1만원,1만원,1만원,0,0,0,1만원,3만원,19만원,0,0,2천원,0,9천원,0,1만원,22만원,9천원,1만5천원,0,1만원,1만원,2만원,1만원,1만원,2만원,2만원,2만원,2만원,1만5천원,5천원,5천원,3만5천원,1만5천원,10만원,0,0,1만5천원,1만5천원,1만5천원,9천9백원,9천9백원,0,0,0,만원,20만원,0,0,0,0,0,0
가전/가구,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가정생활/서비스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1.5,0,0,0,3,0,0,1,1,0,0,2,0
교육/학원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,2,2,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
미용,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,3,4,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
스포츠/문화/레저,0.03,1,0,2,1,2,3,0,4,1,2,0,0,2,3,0,2,2,0,0,0,0,1,1,1,0,0,2,1,0,1,0,0,1,3,2,3,2,0,1,2,2,2,3,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,0,0,0,0,3,2,3,4,2,5,5,1,1,3,3,3,3,0,0,1,0,3,2,3,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,4,0,4,4.5,4.5,0,0,3.5,0,3,6,1,3,0,4,1,0,0,0,2,3,3,3,3,0,0,0,1,9,1,2,2,0
여행/교통,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
요식/유흥,2,1,2,2,1,2,3,2,2,1,2,1,3,1,2,2,2,2,2,2,2,4,1,1,1,1,3,4,1,0,2,0,3,2,1,1,1,1,2,3,1,3,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,3,3,3,0,0,3,0,0,0,2,0,0,2,2,0,0,0,4,4,0,3.5,0,0
유통,3,1,3,2,1,2,3,0,0,1,2,1,3,0,0,2,2,0,3,0,0,2,1,1,1,0,0,2,1,3,0,0,2,2,0,1,0,1,0,1,1,0,1,0,3,1,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,1,1,2,2,2,2,1,1,1,0,2,2,3,2,0,2,2,2,0,1,0,1,1,2,1,1,0,0,2,1,0,0,2,2,1,2,1,1,0,0,2,2,3,2,2,2,3,3,0.5,2,2,2,1,1.5,2,2,2,0,0,0,3,0,0,3,1,0
음/식료품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,2,5,5,1,1,3,3,2,3,0,0,1,0,2,2,3,3,0,3,3,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,2,4.5,4.5,0,0,5.5,0,3,0,0,3,0,5.5,0,0,0,2,2,1.5,0,0,0,0,0,0,4,4,0,2,1,0
의료,0,0,0.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,3,2,2,0,0,0,0,0,0,1,2,0,1,0,0,0
의류/잡화,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
자동차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
전자상거래,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,5,2,1,1,2,2,0,2,0,1,1,1,0,2,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,3,3,1,1,1,2,1,1,0,0,0,1,0,2,0,1,5,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1,2,1,1,0,0,1,1,0,1,6,0,0,1,0,1,0
주유,0,0.01,2,0.03,0.01,0,0,2,2,0.01,0,2,0,0.01,2,0,0,0,0,2,2,0,1,1,2,0,0,0,0,0,0,2,0,0,2,1,0,0,2,2,2,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,2,0
